HR,BP,BT,RR,BS,SPO2,EDA,BVP
152,130,35.13,17,137,99.29589611,0.480499,112.62
125,136,35.13,14,77,96.92641327,0.480499,121.73
170,120,35.13,19,106,99.06720863,0.479218,129.77
145,160,35.13,18,98,95.57224707,0.480499,136.75
140,170,35.13,12,75,97.15157293,0.479218,143.3
138,140,35.13,15,133,97.88286886,0.477936,150.75
144,125,35.11,18,98,99.87164378,0.477936,157.77
162,140,35.11,15,109,97.91689193,0.477936,166.64
150,130,35.11,15,74,98.62512733,0.477936,177.95
156,138,35.11,16,107,98.23353375,0.477936,191.79
175,124,35.11,19,109,96.60743355,0.477936,206.97
144,140,35.11,13,113,95.71305933,0.477936,220.57
158,134,35.11,12,104,99.66036864,0.479218,228.25
158,134,35.11,13,122,99.16043418,0.48178,225.36
163,140,35.11,17,122,97.8695344,0.495875,208.53
126,118,35.11,14,119,95.91803528,0.52022,176.87
147,150,35.11,15,119,98.42263854,0.522783,132.76
173,138,35.11,19,119,95.87520836,0.524064,80.05
170,120,35.11,12,85,99.04540687,0.527908,23.07
170,120,35.11,15,125,95.50624781,0.530471,34.94
165,140,35.11,12,109,98.92269518,0.533034,92.44
143,174,35.11,13,137,98.73018953,0.534315,149.16
160,140,35.13,12,121,96.51081937,0.535596,205.23
141,144,35.13,15,76,99.36656581,0.516376,260.37
167,108,35.13,15,117,96.81154727,0.511251,313.74
163,124,35.13,19,90,97.78860348,0.501,363.87
144,140,35.11,19,116,99.49064329,0.498438,409.83
144,120,35.11,12,122,97.93656609,0.493312,450.91
140,128,35.11,12,83,97.75634053,0.486906,486.5
152,138,35.11,18,111,96.11881189,0.484343,515.74
159,128,35.09,17,77,96.26517177,0.483062,537.23
95,123,35.09,13,87,97.42734676,0.480499,549.22
158,110,35.09,19,110,98.55945018,0.480499,549.96
116,140,35.09,18,134,99.05389916,0.480499,538.37
165,122,36.58,17,108,99.62187214,0.483062,514.21
173,150,36.73,17,107,97.13954492,0.484343,478.67
156,108,36.93,13,126,95.67654551,0.488187,433.88
156,138,37.15,12,104,95.08525268,0.489468,382.45
190,118,37.23,16,77,98.24303853,0.49075,327.02
118,110,37.24,19,116,99.51818675,0.49075,269.84
173,140,37.24,12,110,99.78700928,0.49075,212.63
103,120,36.9,19,76,96.40731028,0.49075,156.66
181,152,36.95,12,104,95.43138985,0.488187,102.95
108,110,36.89,18,93,95.401364,0.486906,52.37
177,110,36.95,13,97,96.32788234,0.488187,5.9
111,142,37,12,93,95.95549928,0.49075,35.58
150,130,36.9,16,89,98.45664988,0.493312,71.43
143,110,36.99,15,131,97.3471383,0.497156,101.35
134,126,36.99,17,77,96.98111531,0.498438,125.5
146,145,37.01,18,106,99.74448514,0.499719,144.38
147,130,37.04,19,111,96.07174574,0.501,158.69
120,120,37.04,12,70,96.90179313,0.501,169.15
202,130,37.14,18,79,96.34150094,0.499719,176.37
162,120,37.07,15,110,96.01070788,0.497156,180.75
156,108,36.98,17,125,99.68852399,0.494594,182.57
144,120,37.01,18,80,98.5094806,0.494594,182.07
142,145,36.97,17,72,95.19146686,0.502282,179.51
157,140,36.97,14,112,98.57404714,0.501,175.23
140,120,37.12,16,100,95.12546757,0.499719,169.65
171,150,37.13,17,108,97.87365533,0.498438,163.18
151,120,37.14,14,72,98.15974723,0.498438,156.15
152,130,37.15,19,93,95.014488,0.497156,148.81
169,138,37.17,12,98,97.63792025,0.495875,141.3
148,140,37.12,18,87,95.22722161,0.494594,133.69
171,150,37.12,18,134,97.22082866,0.494594,126.02
149,130,37.17,12,128,99.06475244,0.493312,118.33
132,135,37.28,19,87,97.5997205,0.492031,110.69
163,129,37.28,15,96,98.40726868,0.492031,103.16
156,108,37.44,15,75,95.2272991,0.49075,95.8
146,170,37.51,18,82,97.395966,0.49075,88.68
166,132,37.64,14,124,96.36481949,0.489468,81.83
154,180,37.51,19,139,97.77236223,0.489468,75.25
156,138,37.98,14,92,95.86511984,0.489468,68.95
153,110,38.02,15,110,95.95843161,0.489468,62.95
88,152,38,16,132,98.2100911,0.494594,57.25
136,124,38.24,19,113,97.27601919,0.497156,51.86
145,134,38.1,19,95,98.9238046,0.498438,46.78
174,118,38.24,18,110,96.87865128,0.497156,42.03
143,112,38.11,19,78,98.94970033,0.497156,37.59
114,110,38.02,15,102,95.90407284,0.497156,33.45
157,120,38.11,17,110,95.54124443,0.498438,29.61
158,110,38.01,18,125,99.90823964,0.503563,26.07
178,152,37.91,14,137,99.74290454,0.508688,22.81
182,140,37.96,13,70,97.06656998,0.513814,19.83
140,114,38.03,16,125,96.65530797,0.526627,17.11
195,192,38.17,15,72,97.45258487,0.574036,14.67
171,125,38.19,18,94,97.06045144,0.583006,12.48
147,120,38.18,16,118,98.02168198,0.559942,10.54
132,130,38.15,12,100,98.14736496,0.545847,8.83
156,108,38.04,14,83,98.07986926,0.550972,7.35
178,140,37.96,17,119,99.20521558,0.830302,6.07
147,120,37.84,13,128,97.8380186,1.17781,4.97
160,115,37.83,19,121,97.02303785,1.616094,4.05
182,120,37.84,16,98,97.49683628,0.892241,3.27
162,125,37.74,13,101,95.49540329,0.751196,2.62
143,100,37.76,16,136,99.85465772,0.67816,2.09
162,125,37.76,19,112,97.40410571,0.644845,1.65
166,124,37.64,18,118,96.65999528,0.721725,1.3
144,125,37.63,13,78,98.98642914,0.820388,1.01
140,170,38.06,18,133,96.108838,0.83192,0.79
105,132,38.19,14,74,95.97402985,0.815262,0.61
163,120,38.35,14,87,98.47432161,0.77426,0.48
162,130,38.25,13,86,99.00029262,0.772979,0.37
138,112,37.86,12,134,96.16747268,0.775541,0.29
171,150,37.95,13,131,97.95939677,0.765291,0.24
103,130,37.95,15,87,98.92116018,0.757603,0.2
169,120,37.76,18,87,98.76905194,0.752477,0.18
179,94,37.6,12,123,99.61473756,0.739664,0.17
126,110,37.89,19,100,98.77174079,0.730695,0.17
133,200,37.86,18,87,95.80834212,0.705068,0.18
103,130,37.71,12,86,99.60810907,0.541058,0.2
96,120,37.78,17,119,97.25948008,0.579498,0.22
177,110,37.82,18,102,99.59229765,0.564122,0.26
150,134,37.76,14,97,99.67920727,0.532088,0.29
144,140,37.81,12,101,96.2310827,0.605124,0.33
144,110,37.84,16,105,98.56571272,0.607687,0.37
170,140,38.01,16,108,95.67011634,0.61025,0.42
150,130,38.1,16,72,98.11158652,0.551308,0.46
170,128,38.15,16,137,95.13087104,0.550027,0.51
124,165,37.92,15,84,96.26998043,0.619219,0.56
114,110,37.64,12,79,97.13678436,0.606406,0.61
144,125,37.7,14,112,95.37775304,0.634595,0.66
147,130,37.46,15,75,97.58576294,0.666628,0.72
131,125,37.41,14,109,97.05610999,0.63972,0.78
179,112,37.46,12,106,98.05750053,0.619219,0.84
163,130,37.56,19,71,97.16016652,0.598718,0.92
160,115,37.55,13,113,95.21581592,0.56284,1
131,160,37.75,16,127,98.68042755,0.547464,1.08
108,160,37.76,16,139,99.83443506,0.539776,1.18
157,150,37.73,16,97,98.13331137,0.528244,1.29
156,100,37.77,16,127,96.98354145,0.471866,1.42
185,115,38.01,19,77,98.83048561,0.461615,1.55
160,102,38.04,18,70,95.42124474,0.537145,1.71
126,144,38.07,12,95,99.05179191,0.612743,1.88
163,124,35.27,14,103,98.31867561,0.590961,2.07
174,118,35.27,12,104,97.30933451,0.590961,2.28
178,152,35.27,17,108,96.72091308,0.611462,2.51
155,170,35.27,12,83,98.9637119,0.6294,2.77
152,146,35.25,19,93,96.06527437,0.634526,3.06
178,148,35.25,17,120,97.1899434,0.608899,3.37
134,126,35.25,18,86,98.94457248,0.603774,3.72
179,112,35.25,18,82,95.9341592,0.612743,4.1
173,138,35.23,19,124,95.00069768,0.634526,4.51
103,120,35.23,13,113,97.42073996,0.65759,4.96
194,120,35.23,15,127,99.27628277,0.685779,5.44
125,100,35.23,12,110,99.16259001,0.683216,5.96
128,150,35.31,17,91,96.14032826,0.681935,6.52
162,130,35.31,16,120,98.86536796,0.669122,7.12
170,128,35.31,12,119,95.97251468,0.652464,7.79
171,130,35.31,18,90,95.42817169,0.647339,8.51
127,135,35.31,15,120,96.14002967,0.651183,9.27
182,120,35.31,13,128,97.42613252,0.64862,10.06
120,140,35.31,12,139,96.62983588,0.64862,10.84
116,122,35.31,17,130,98.97046368,0.649902,11.61
174,130,35.31,18,113,98.84704191,0.651183,12.37
147,130,35.31,19,105,97.89050247,0.655027,13.15
144,110,35.31,16,79,99.43364628,0.69603,14.01
179,94,35.31,12,133,96.71511194,0.708843,14.97
186,140,35.33,16,83,98.58657884,0.708843,16.07
165,150,35.33,19,91,98.94055038,0.482047,17.28
126,118,35.33,15,135,95.22124826,0.546114,18.56
149,118,35.33,17,108,98.20088346,0.77291,19.81
184,128,35.31,19,94,96.59591727,0.756252,20.97
165,178,35.31,12,77,95.07577682,0.614024,21.95
171,125,35.31,18,123,99.5607954,0.784441,22.69
178,120,35.31,16,133,95.43938104,0.824163,23.14
141,125,35.33,19,82,98.25551326,0.842101,23.24
163,126,35.33,12,130,98.3174179,0.576866,22.89
163,130,35.33,16,89,96.90658805,0.75369,21.95
155,170,35.33,12,126,98.01232392,0.881823,20.31
126,118,35.31,17,121,98.56556471,0.930513,17.85
141,124,35.31,15,106,98.67566891,0.76394,14.56
160,117,35.31,14,97,95.28558859,0.803661,10.47
154,150,35.31,19,99,95.27467408,0.824163,5.85
159,132,35.33,19,79,99.30862358,0.892073,0.99
150,152,35.33,12,132,98.14257723,0.939483,3.76
173,138,35.33,12,90,99.59838509,0.920263,8.15
155,140,35.33,17,130,95.47458593,0.806224,12.06
166,125,35.31,18,106,99.03889025,0.828007,15.53
188,130,35.31,18,116,96.61394905,0.815193,18.65
195,192,35.31,15,121,97.97468706,0.77291,21.51
120,140,35.31,14,79,98.15230232,0.578147,24.09
152,138,35.34,17,134,95.14397094,0.724219,26.2
150,130,35.34,14,138,96.33072929,0.756252,27.58
118,110,35.34,18,111,99.69319171,0.746002,28.01
138,112,35.34,13,114,98.77662288,0.811349,27.48
132,132,35.31,15,79,96.00488219,0.845945,26.3
124,165,35.31,19,130,95.74541229,0.861321,25
130,120,35.31,13,91,95.35084813,0.884385,24.15
157,140,35.31,12,77,96.61641633,0.890792,24.16
182,138,35.31,16,84,95.49880015,0.808787,25.02
154,180,35.31,12,96,95.9448129,0.826725,26.36
182,120,35.31,17,134,95.20243504,0.701155,27.48
151,120,35.31,12,100,98.96605307,0.758815,27.77
169,120,35.34,19,139,96.00106962,0.690904,26.97
165,150,35.34,15,71,95.67642532,0.710124,25.34
186,122,35.34,17,137,98.48448938,0.807505,23.61
166,132,35.34,17,97,95.03491169,0.89848,22.65
146,170,35.31,14,102,95.7599193,0.959984,23.06
148,104,35.31,17,76,99.03719472,0.934357,24.88
95,123,35.31,13,73,99.2345472,0.911293,27.48
71,120,35.31,14,122,98.58222482,1.038145,29.91
173,132,35.41,19,108,99.85945295,1.071529,31.33
130,110,35.41,12,107,99.44559244,1.008744,31.36
161,110,35.41,17,73,99.64035245,0.47571,30.31
173,120,35.41,16,98,98.06938523,0.86139,28.99
152,138,35.65,15,114,99.44382514,0.872922,28.34
108,110,35.65,13,117,97.36433132,0.872922,29.23
138,160,35.65,19,110,97.62824926,0.931864,32.31
103,130,35.65,15,138,96.33569401,1.024119,37.87
168,132,35.66,19,96,95.08749955,1.044621,45.61
188,130,35.66,14,122,97.0401862,0.989524,54.13
145,160,35.66,13,96,97.25838372,0.958772,60.77
168,105,35.66,12,129,98.63063455,1.079217,62.03
175,130,35.65,17,133,98.65427604,1.088186,54.86
174,122,35.65,15,70,96.33062625,1.088186,38.11
172,130,35.65,15,123,98.66886567,1.127907,13.59
144,110,35.65,12,128,96.83290529,1.035651,14.22
173,132,35.61,15,121,95.04267265,1.108687,39.73
130,110,35.61,18,82,98.52499428,1.14969,58.35
133,140,35.61,17,125,96.48983736,1.153534,68.1
162,160,35.61,14,80,97.46998965,0.95749,69.9
172,120,35.59,13,136,96.61919123,1.029245,66.53
181,152,35.59,15,109,98.39651656,0.981836,60.93
169,138,35.59,18,88,98.38140234,1.036933,54.97
130,128,35.59,14,93,95.12295165,1.022838,49.2
137,150,35.57,19,136,95.63437651,0.961334,43.45
157,150,35.57,18,139,97.49331079,1.011306,37.66
133,200,35.57,12,114,96.81297307,0.986961,32.3
125,100,35.57,13,77,96.03148075,0.88958,28.27
71,120,35.57,13,116,95.20276737,0.893424,26.25
111,150,35.57,18,121,98.28653713,0.743508,26.26
174,122,35.57,16,125,99.09412083,0.913925,27.59
172,120,35.57,12,86,95.62725376,1.163785,29.18
172,105,35.55,13,116,95.35542264,1.139439,29.99
154,94,35.55,16,114,97.25886266,1.07281,29.54
166,132,35.55,19,77,96.5751361,1.153534,28.06
142,145,35.55,17,75,98.93373704,1.249634,26.12
169,136,35.53,17,136,99.74283001,1.103562,24.38
99,120,35.53,13,95,99.65109696,1.330358,23.19
149,118,35.53,17,107,98.37880935,1.353422,22.42
170,120,35.53,16,87,95.38335846,1.350859,21.48
134,126,35.59,13,84,97.10943715,1.411081,19.61
153,140,35.59,16,133,95.90481326,1.5059,16.28
140,120,35.59,19,78,96.49551905,1.595692,11.39
150,130,35.59,17,132,97.00919694,1.512406,5.38
112,160,35.71,16,75,95.00004177,1.317643,1.05
121,120,35.71,12,100,95.91593304,1.347114,7.26
178,140,35.71,13,128,95.7973701,1.201042,12.96
178,148,35.71,16,131,97.05293889,1.185666,18.27
133,140,35.55,17,114,97.25067491,1.211293,23.5
172,135,35.55,12,94,98.78298916,1.215137,28.9
162,140,35.55,14,82,98.66124243,1.202324,34.47
115,128,35.55,13,138,95.16124463,1.263827,39.98
143,130,35.5,15,96,98.09361859,1.276641,45.24
139,130,35.5,14,136,96.88002333,1.27536,50.41
147,142,35.5,15,85,97.24448815,1.27536,55.95
120,160,35.5,16,84,96.40570967,1.279203,62.5
180,130,35.49,18,76,98.60159674,1.283047,70.37
153,140,35.49,12,89,99.00103854,1.284329,79.28
195,192,35.49,16,127,99.69453276,1.283047,88.05
112,150,35.49,18,133,99.07478902,1.279203,94.85
109,130,35.47,15,124,97.09936196,1.280485,97.61
115,128,35.47,15,112,97.96367204,1.279203,94.67
170,120,35.47,17,89,96.07487553,1.267671,85.37
169,108,35.47,12,118,99.19932422,1.302267,70.18
187,130,35.43,15,87,95.8285087,1.372741,50.62
158,110,35.43,16,122,99.15224618,1.418869,28.78
132,130,35.43,12,127,95.17159692,1.485498,6.82
111,150,35.43,16,90,95.99463129,1.585442,13.49
173,150,35.47,13,107,99.59223043,1.511124,30.94
152,125,35.47,12,111,96.42023845,1.491904,44.95
142,130,35.47,17,104,99.06994376,1.38171,55.42
144,130,35.47,16,80,96.97525314,1.388117,62.54
173,138,35.47,12,82,96.80559269,1.359927,66.73
169,120,35.47,15,86,99.585708,1.34327,68.49
148,155,35.47,12,79,99.20778116,1.276641,68.35
162,172,35.47,13,82,95.43914779,1.313799,66.83
182,120,35.47,19,94,99.77265085,1.289454,64.36
120,160,35.47,19,118,97.78303382,1.254858,61.35
128,150,35.47,19,137,98.86361229,1.192073,58.13
167,108,35.47,14,95,95.42277135,1.192073,55
143,132,35.5,16,123,95.08300092,1.452183,52.17
97,130,35.5,16,119,95.50371809,1.326613,49.72
151,120,35.5,16,76,96.7571822,1.32405,47.66
126,144,35.5,12,117,95.49917536,1.192073,45.99
143,110,35.5,14,127,99.24026093,1.171572,44.77
126,110,35.5,14,125,97.80985372,1.263827,44.12
141,124,35.5,19,136,98.43423983,1.206168,44.12
152,138,35.5,16,138,99.00709753,1.186948,44.65
90,164,35.5,16,70,96.6169771,1.130569,45.36
108,160,35.5,17,119,96.8635175,1.169009,45.64
162,134,35.5,19,134,97.04896223,1.395805,44.93
115,128,35.5,17,125,98.64706141,1.473966,42.85
186,122,35.53,17,113,99.98740291,1.479091,39.41
146,130,35.53,19,87,95.11266759,1.459871,34.9
165,122,35.53,14,123,99.96395879,1.462434,29.77
173,130,35.53,19,106,99.27715662,1.231794,24.44
174,130,35.53,13,132,99.11424637,1.329175,19.08
173,130,35.53,14,78,97.22893505,1.111349,13.64
165,112,35.53,17,131,98.26284144,1.138257,7.87
168,110,35.53,16,75,95.79749298,1.229232,1.43
154,105,35.5,16,107,95.22500989,1.283047,5.95
123,110,35.5,12,135,96.71361768,1.4304,14.47
136,132,35.5,14,94,95.65562971,1.42015,24.06
132,132,35.5,17,110,96.77309196,1.407337,34.43
158,110,35.43,16,102,99.02832203,1.330457,45.02
160,120,35.43,19,97,97.89135891,1.390679,55.19
160,142,35.43,17,84,97.33307511,1.353521,64.43
138,160,35.43,15,130,96.76676657,1.353521,72.5
164,140,35.45,14,76,98.98479174,1.370178,79.63
122,130,35.45,19,108,96.59301402,1.386835,86.45
71,120,35.45,19,118,96.72389584,1.371459,93.81
190,118,35.45,15,136,96.98714375,1.326613,102.5
105,146,35.41,17,120,96.19631175,1.327894,112.9
173,132,35.41,16,120,97.58407629,1.344551,124.67
142,110,35.41,15,84,97.35509402,1.338145,136.71
111,150,35.41,15,114,99.13983772,1.333019,147.25
156,126,35.41,17,102,98.94733225,1.32405,154.25
123,110,35.41,14,88,97.91665319,1.298423,155.92
173,120,35.41,16,71,99.17849841,1.308674,151.12
162,125,35.41,16,139,95.34666856,1.23692,139.77
96,120,35.43,12,113,95.42440518,1.16004,122.82
150,145,35.43,17,111,99.6643716,1.028063,102.02
152,136,35.43,12,72,96.25978909,0.914024,79.5
132,110,35.43,16,122,97.84218645,0.944677,57.16
123,110,35.43,17,82,98.48121317,1.036933,36.27
145,160,35.43,17,85,95.19089102,1.227851,17.28
132,130,35.43,19,139,95.25479158,1.241946,0.01
152,146,35.43,17,127,97.67497831,1.089467,16.18
150,180,35.45,14,84,99.42828184,1.142002,31.72
114,110,35.45,18,131,98.57906938,1.158659,46.81
138,160,35.45,13,121,96.7695573,1.177879,61.23
150,145,36.58,18,132,97.855195,1.181723,74.5
139,120,36.73,18,85,95.5672941,1.191974,86.15
125,112,36.93,16,74,98.14454639,1.189411,95.88
143,156,37.15,12,86,95.69670831,1.227851,103.61
172,105,37.23,18,86,98.60771371,1.195818,109.35
138,140,37.24,18,131,97.75789487,1.176598,113.08
142,130,37.24,16,101,97.53544386,1.181723,114.78
165,140,36.9,19,76,95.36192277,1.224007,114.49
156,100,36.95,13,127,99.90264615,1.244508,112.53
152,138,36.89,15,105,97.56598004,1.289355,109.47
147,150,36.95,17,121,96.26077347,1.266291,106.08
168,105,37,14,71,95.88768697,1.289355,103.03
144,125,36.9,17,91,96.82881634,1.257322,100.6
112,150,36.99,18,107,98.76016812,1.348296,98.64
109,130,36.99,17,82,97.67384905,1.417488,96.58
159,170,37.01,13,88,95.05689821,1.413644,93.77
172,130,37.04,14,119,95.60253468,1.420051,89.7
152,125,37.04,18,116,98.7559735,1.425176,84.23
169,138,37.14,12,121,95.29739165,1.176598,77.65
163,124,37.07,15,114,97.95166303,1.180442,70.48
151,160,36.98,16,95,97.99216627,1.036933,63.23
159,128,37.01,17,102,98.30018441,1.099718,56.21
122,102,36.97,12,131,97.45612361,1.025401,49.42
163,120,36.97,17,127,97.80959332,1.122782,42.59
152,136,37.12,16,100,99.7358875,1.024119,35.39
147,142,37.13,17,113,99.20139415,1.035651,27.55
142,130,37.14,12,131,97.86785315,1.052309,19.05
163,160,37.15,12,128,95.88205917,0.734539,10.05
174,150,37.17,16,75,97.4765531,0.643564,0.86
143,132,37.12,12,123,96.38472784,0.693536,8.16
152,108,37.12,14,136,96.93590674,0.649971,16.66
150,152,37.17,12,102,97.6910783,0.594874,24.36
114,150,37.28,12,70,98.79923424,0.611531,31.13
160,102,37.28,15,91,95.57030732,1.068966,37.04
187,130,37.44,18,136,95.23583875,1.273979,42.46
172,112,37.51,19,117,95.90906196,1.074091,48.06
163,120,37.64,14,91,96.34840404,0.734539,54.54
143,174,37.51,14,99,96.54591951,0.992086,62.36
129,120,37.98,16,74,95.37937739,1.020275,71.35
179,130,38.02,14,77,96.13478931,1.043339,80.52
160,120,38,16,73,97.09941335,1.031807,88.17
154,150,38.24,14,78,99.05733901,1.051027,92.32
170,140,38.1,17,70,98.87423432,1.244508,91.3
88,152,38.24,12,110,98.74275598,1.271416,84.3
174,150,38.11,12,120,98.5300856,1.307294,71.65
179,130,38.02,19,75,96.18255168,1.20735,54.72
184,128,38.11,14,107,98.7049253,1.081779,35.54
173,130,38.01,12,110,98.36652703,1.045902,16.19
145,160,37.91,12,119,96.36187145,1.156097,1.63
157,120,37.96,16,138,98.87027833,1.295762,16.83
160,112,38.03,14,97,97.04607986,1.231695,28.96
154,150,38.17,19,76,96.58913239,1.229132,37.96
162,134,38.19,18,102,97.17389966,1.309856,44.07
165,178,38.18,15,114,95.77149508,1.4098,47.57
162,134,38.15,18,79,96.32596966,1.493087,48.79
114,150,38.04,16,116,99.53651782,1.443214,48.1
131,160,37.96,12,90,98.13374534,1.58416,45.9
152,108,37.84,19,137,95.30551122,1.548283,42.69
152,138,37.83,14,119,99.60947042,1.721263,39.02
171,150,37.84,18,113,98.84878632,1.702043,35.43
186,140,37.74,16,88,97.14641919,1.617475,32.34
146,140,37.76,17,75,98.087622,1.732795,29.97
175,124,37.76,17,71,97.48844288,1.623881,28.32
190,118,37.64,12,102,98.56139422,1.623881,27.24
161,110,37.63,12,118,97.18921988,1.590567,26.54
160,115,38.06,18,83,98.21266404,1.571347,26.11
173,138,38.19,19,131,95.97448042,1.543158,25.94
188,130,38.35,18,100,95.14613969,1.530344,26.04
118,110,38.25,13,80,96.27879875,1.499592,26.35
137,150,37.86,17,85,95.65427243,1.498311,26.67
108,160,37.95,18,130,97.29966362,1.462434,26.69
171,150,37.95,14,123,98.50764278,1.438089,26.06
133,140,37.76,12,122,96.74486553,1.407337,24.59
131,130,37.6,13,114,97.70010599,1.415025,22.27
168,130,37.89,17,82,98.03875176,1.230513,19.25
168,110,37.86,17,128,99.34082564,1.22795,15.72
173,150,37.71,17,127,97.1736271,1.242045,11.79
124,165,37.78,12,114,95.8011735,1.426557,7.45
150,128,37.82,15,90,98.65177543,1.443214,2.53
182,140,37.76,18,114,99.33292645,1.272797,3.1
131,128,37.81,12,117,99.4204553,0.853802,9.43
142,130,37.84,14,136,98.62977125,0.826795,16.29
154,150,38.01,13,97,95.05862467,1.024119,23.38
122,140,38.1,15,103,97.33825963,1.047183,30.44
174,122,38.15,18,99,96.46116426,0.88061,37.4
158,110,37.92,15,105,95.63921943,0.922894,44.45
103,120,37.64,15,104,97.80109259,1.090749,52.01
158,110,37.7,12,96,99.85589831,1.279104,60.42
127,135,37.46,12,70,99.16249832,1.279104,69.68
159,132,37.41,19,89,98.13342596,1.045902,79.07
137,150,37.46,14,73,95.32262375,0.933145,87.18
159,128,37.56,19,125,97.36493862,1.285511,92.15
174,150,37.55,13,96,95.56583857,1.480273,92.29
131,125,37.75,12,129,97.60382725,1.002436,86.56
132,132,37.76,19,90,96.15131769,0.953745,75.05
166,125,37.73,13,99,97.96328963,1.026781,58.92
161,135,37.77,15,124,98.50094377,1.029344,40.05
150,180,38.01,16,128,95.05786963,1.080597,20.46
164,154,38.04,14,105,99.43721111,1.087004,1.82
160,140,38.07,15,100,95.31492383,1.081878,14.82
160,142,35.37,12,86,97.22939367,1.101098,28.9
125,112,35.37,13,70,99.73633507,1.069065,40.29
182,138,35.37,16,91,97.12459824,1.108786,49.05
160,142,35.37,19,80,97.67371959,1.161321,55.29
175,130,35.37,17,98,99.24205402,1.2177,59.21
152,108,35.37,17,137,98.21845545,1.203605,61.14
149,118,35.37,15,83,95.4830899,1.11263,61.4
140,120,35.37,16,88,99.73635632,1.153633,60.35
172,130,35.37,16,92,98.95237331,1.126725,58.28
133,200,35.39,16,79,98.90120811,1.04472,55.42
117,180,35.39,16,90,96.21900666,0.856364,51.97
159,132,35.39,17,84,99.70150437,0.88061,48.14
120,120,35.39,14,72,97.42589378,0.878048,44.17
153,112,35.37,19,110,96.00780358,0.893424,40.25
108,110,35.37,19,110,98.17345135,0.92802,36.58
170,120,35.37,17,81,99.03116126,1.070247,33.32
139,120,35.37,15,85,98.78858508,1.145846,30.6
132,130,35.34,15,99,99.36984827,1.166347,28.5
168,105,35.34,18,105,97.80058674,1.189411,26.95
